TenDayDu,Giới tính,Ngày sinh,SDT,CCCD,Email
Hoàng Đình Phú,Nam,10/12/1985,952931660,630868347,19520838@gm.uit.edu.vn
Đỗ Thị Thanh An,Nữ,4/29/1993,155003959,203917736,19520365@gm.uit.edu.vn
Trương Thị Kim Thành,Nữ,10/7/1985,654470111,270544278,19520278@gm.uit.edu.vn
Lê Thành Tín,Nam,7/15/1987,834381994,592847474,19521021@gm.uit.edu.vn
Bùi Thị Chiêu,Nữ,7/2/1989,973507104,126066361,chieubuithi@outlook.com
Nguyễn Thị Nhưỡng,Nữ,3/20/1998,558625565,126484508,nhuongnguyenthi@outlook.com
Lý Hữu Luỹ,Nam,3/2/1985,559903177,155918509,luylyhuu@outlook.com
Ngô Thị Nghiệp,Nữ,12/16/1995,562153592,431079017,nghiepngothi@outlook.com
Huỳnh Thị Khái,Nữ,12/4/1986,213627105,367598348,khaihuynhthi@gmail.com
Hoàng Uy Chiến,Nam,4/9/1989,272565701,715211670,chienhoanguy@yahoo.com
Bùi Long Nga,Nam,9/3/1989,131376830,885374298,ngabuilong@yahoo.com
Hồ Thị Bật,Nữ,2/25/1999,119030583,563458007,bathothi@gmail.com
Nguyễn Quang Diệu,Nam,11/8/1986,423071341,300679101,dieunguyenquang@outlook.com
Lê Uy Chỉ,Nam,12/1/1987,334086728,209313507,chileuy@gmail.com
Phan Huy Phùng,Nam,9/30/1985,981663292,914786736,phungphanhuy@outlook.com
Bùi Văn Võ,Nam,7/22/1990,685108594,224568671,vobuivan@outlook.com
Huỳnh Anh Qua,Nam,8/14/1999,928148254,167726801,quahuynhanh@apple.com
Lê Quang Lập,Nam,6/27/1986,257042477,744694768,laplequang@apple.com
Hoàng Đình Năm,Nam,2/10/1995,376908220,939878197,namhoangdinh@apple.com
Ngô Thị Bốc,Nữ,8/25/1989,689711446,150857890,bocngothi@yahoo.com
Lê Thị Chấp,Nữ,12/31/1988,550919861,104726193,chaplethi@yahoo.com
Hoàng Đình Phú,Nam,2/10/2001,641648384,747808142,phuhoangdinh@apple.com
Văn Quốc Trịnh,Nam,3/20/2000,444593028,613832087,trinhvanquoc@apple.com
Trương Nguyễn Trường Duy,Nam,4/10/2001,873824332,950859628,duytruongnguyentruong@apple.com
Đặng Hữu Chương,Nam,7/19/1998,980864791,526495085,chuongdanghuu@apple.com
Phạm Quốc Hùng,Nam,7/20/2001,733035085,874809426,hungphamquoc@apple.com
Trần Anh Tỉnh,Nam,1/29/1999,916335322,848855436,tinhtrananh@yahoo.com
Đỗ Huy Giáo,Nam,9/26/1998,690897505,181805726,giaodohuy@apple.com
Hồ Huy Chiêm,Nam,3/20/2000,637081322,437494402,chiemhohuy@apple.com
Hồ Huy Mộc,Nam,12/23/1999,278647156,856957949,mochohuy@outlook.com
Bùi Huy Bái,Nam,6/19/1999,719109521,394646169,baibuihuy@yahoo.com
Ngô Long Ngung,Nam,7/9/2002,801973152,765924603,ngungngolong@gmail.com
Hồ Đình Phàm,Nam,5/30/2001,947444674,665755820,phamhodinh@gmail.com
Huỳnh Long Khiết,Nam,7/13/2000,172626026,280433670,khiethuynhlong@outlook.com
Đỗ Huy Ðương,Nam,2/22/1999,806430356,535704824,duongdohuy@gmail.com
Đỗ Huy Ban,Nam,8/8/2002,764153260,142461828,bandohuy@gmail.com
Nguyễn Huy Việt,Nam,4/6/2000,574260458,553514995,vietnguyenhuy@yahoo.com
Ngô Anh Nghĩa,Nam,6/26/2002,266812934,965138633,nghiangoanh@apple.com
Lê Long Tôn,Nam,12/26/1998,629400281,854091053,tonlelong@outlook.com
Đặng Huy Cừ,Nam,3/29/2002,185400684,248947666,cudanghuy@gmail.com
Ngô Đình Ngọc,Nam,4/11/2002,647361037,719240817,ngocngodinh@outlook.com
Lê Đình Hiệt,Nam,6/17/1999,929067012,224005427,hietledinh@gmail.com
Vũ Quang Cựu,Nam,8/17/1998,175022011,301709078,cuuvuquang@gmail.com
Võ Văn Ðô,Nam,2/16/2001,731627825,436070797,dovovan@outlook.com
Bùi Huy Tòng,Nam,7/26/1998,392905198,941413905,tongbuihuy@apple.com
Đặng Huy Sửu,Nam,10/10/1999,593955841,631222559,suudanghuy@gmail.com
Đặng Thái Diêm,Nam,10/10/1998,590529444,949616454,diemdangthai@outlook.com
Đỗ Nhật Nham,Nam,4/9/2002,577204530,427619257,nhamdonhat@outlook.com
Phạm Quang Thược,Nam,3/15/2002,204176335,412569310,thuocphamquang@apple.com
Hoàng Nhật Vân,Nam,3/1/1998,630916652,329352002,vanhoangnhat@apple.com
Hồ Huy Tuy,Nam,11/22/2002,622222095,763857860,tuyhohuy@gmail.com
Hoàng Huy Tuấn,Nam,11/2/1998,843173881,974733866,tuanhoanghuy@yahoo.com
Hồ Thị Nhiêu,Nữ,5/8/2002,266592538,792491685,nhieuhothi@gmail.com
Võ Văn Phách,Nam,1/4/2002,911278946,134333774,phachvovan@apple.com
Vũ Huy Khải,Nam,3/21/2000,300200791,315858259,khaivuhuy@gmail.com
Đặng Quang Thaí,Nam,11/16/2002,497921085,639721082,thaidangquang@gmail.com
Huỳnh Uy Phúc,Nam,11/15/1998,451293325,589020234,phuchuynhuy@outlook.com
Ngô Huy Tổ,Nam,1/5/1998,601562860,826197690,tongohuy@yahoo.com
Ngô Quang Chiến,Nam,3/13/2002,486257367,877791038,chienngoquang@yahoo.com
Phạm Anh Bạch,Nam,11/10/1999,403524852,670145010,bachphamanh@yahoo.com
Huỳnh Nhật Tiếp,Nam,10/4/2001,310674876,165019872,tiephuynhnhat@yahoo.com
